token_id_Slice,Name,Sport,Country,Stock,Rarity,Rank,IPFS CARD,IPFS  NFT Portada,Token_provider_id
1,José Fernández,Tennis,Argentina,1.000,Bronze,66,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_1.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_1.png,1
2,Fabrizio Mazzocchetti,Tennis,Argentina,1.000,Bronze,67,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_2.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_2.png,1
5,Julián Cundom,Tennis,Argentina,1.000,Bronze,38,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_5.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_5.png,1
7,Julieta Lara Estable,Tennis,Argentina,1.000,Bronze,26,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_7.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_7.png,1
9,Rocco Valente,Tennis,Argentina,1.000,Bronze,47,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_9.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_9.png,1
10,Tadeo David Ramirez,Tennis,Argentina,1.000,Bronze,61,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_10.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_10.png,1
11,Jaime López Rivarola,Golf,Argentina,1.000,Silver,12,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_11.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_11.png,1
12,María Victoria Marchesini,Tennis,Argentina,1.000,Bronze,44,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_12.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_12.png,1
13,Ornella De Fazio,Tennis,Argentina,1.000,Bronze,60,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_13.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_13.png,1
14,Lautaro Agustín Corthey,Tennis,Argentina,1.000,Bronze,53,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_14.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_14.png,1
16,Manuel Torres,Golf,Venezuela,1.000,Silver,17,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_16.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_16.png,1
17,Juan Pablo Varillas,Tennis,Peru,1.000,Silver,9,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_17.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_17.png,1
20,Tomás Martín Etcheverry,Tennis,Argentina,50,Gold,1,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_20.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_20.png,1
21,Sebastián Olivera,Tennis,Uruguay,1.000,Bronze,59,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_21.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_21.png,1
24,Evialina Laskevich,Tennis,Belarus,1.000,Bronze,28,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_24.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_24.png,1
25,Antonia Vergara,Tennis,Chile,1.000,Bronze,40,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_25.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_25.png,1
26,Tano Goya,Golf,Argentina,1.000,Gold,4,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_26.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_26.png,1
29,Facundo Bagnis,Tennis,Argentina,1.000,Silver,11,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_29.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_29.png,1
30,Tommaso Compagnucci,Tennis,Italy,1.000,Bronze,27,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_30.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_30.png,1
31,Romina Ccuno,Tennis,Peru,1.000,Silver,13,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_31.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_31.png,1
32,Miguel Vergara,Tennis,Chile,1.000,Bronze,68,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_32.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_32.png,1
33,Guido Justo,Tennis,Argentina,1.000,Bronze,25,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_33.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_33.png,1
34,Sebastián Mora Bobadilla,Tennis,Colombia,1.000,Bronze,69,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_34.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_34.png,1
37,Rafael Jose De Lima Gonzalez,Tennis,Venezuela,1.000,Bronze,70,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_37.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_37.png,1
39,Noelia Zeballos,Tennis,Bolivia,1.000,Bronze,31,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_39.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_39.png,1
40,Federico Gomez,Tennis,Argentina,1.000,Silver,10,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_40.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_40.png,1
43,Camila Chavarria,Tennis,Mexico,1.000,Bronze,71,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_43.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_43.png,1
46,Jennifer Luikham,Tennis,India,1.000,Bronze,58,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_46.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_46.png,1
45,Nicolás Eli,Tennis,Argentina,1.000,Bronze,65,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_45.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_45.png,1
47,Johan Rodríguez,Tennis,Colombia,1.000,Bronze,35,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_47.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_47.png,1
48,Nicolás Mejía,Tennis,Colombia,1.000,Silver,15,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_48.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_48.png,1
49,Tomás Zimmermann,Tennis,Swiss,1.000,Bronze,72,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_49.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_49.png,1
51,Hugo Dellien,Tennis,Bolivia,1.000,Silver,6,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_51.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_51.png,1
52,Federico Coria,Tennis,Argentina,1.000,Silver,7,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_52.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_52.png,1
53,Leonid Sheyngezikht,Tennis,Bulgaria,1.000,Bronze,45,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_53.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_53.png,1
54,Ximena Senties,Tennis,Mexico,1.000,Bronze,48,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_54.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_54.png,1
55,Aleksandr Braynin,Tennis,Ukraine,1.000,Bronze,36,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_55.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_55.png,1
57,Fernando Cavallo,Tennis,Argentina,200,Silver,8,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_57.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_57.png,1
58,Juan Ignacio Gallego,Tennis,Argentina,1.000,Bronze,64,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_58.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_58.png,1
59,Mariana Drazic,Tennis,Croatia,1.000,Bronze,42,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_59.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_59.png,1
