token_id_Slice,Name,Sport,Country,Stock,Rarity,Rank,IPFS CARD,IPFS  NFT Portada,Token_provider_id
61,Nicolas Echavarria,Golf,Colombia,1.000,Gold,2,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_61.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_61.png,1
62,Agustina Gomez Cisterna,Golf,Chile,1.000,Bronze,73,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_62.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_62.png,1
63,Anastasia Kulikova,Tennis,Finland,1.000,Bronze,23,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_63.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_63.png,1
64,Sebastian Ofner,Tennis,Austria,100,Gold,3,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_64.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_64.png,1
65,Juan Ignacio Bazan,Tennis,Argentina,1.000,Bronze,74,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_65.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_65.png,1
66,Andrea Collarini,Tennis,Argentina,1.000,Bronze,24,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_66.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_66.png,1
67,Marcos De Ezcurra,Golf,Argentina,1.000,Bronze,75,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_67.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_67.png,1
68,Mariano Kestelboim,Tennis,Argentina,1.000,Silver,18,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_68.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_68.png,1
71,Sandra Samir,Tennis,Egypt,1.000,Bronze,34,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_71.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_71.png,1
72,Alvaro Guillen Meza,Tennis,Ecuador,1.000,Silver,16,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_72.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_72.png,1
73,Denisa Hindova,Tennis,Czech Republic,1.000,Bronze,41,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_73.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_73.png,1
74,Meshkatolzahra Safi,Tennis,Iran,1.000,Bronze,52,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_74.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_74.png,1
75,Blake Bayldon,Tennis,Australia,1.000,Bronze,29,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_75.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_75.png,1
76,Alan Wagner,Golf,Argentina,1.000,Gold,5,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_76.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_76.png,1
77,Benjamin Alarcon,Tennis,Argentina,1.000,Bronze,63,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_77.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_77.png,1
78,Imran Sibille,Tennis,Morocco,1.000,Silver,22,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_78.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_78.png,1
79,Maria Fernanda Navarro,Tennis,Mexico,1.000,Bronze,46,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_79.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_79.png,1
80,Anastasia Zolotareva,Tennis,Russia,1.000,Bronze,37,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_80.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_80.png,1
81,Diego Barreto Sanchez,Tennis,Spain,1.000,Bronze,39,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_81.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_81.png,1
82,Joel Navarro,Tennis,Argentina,1.000,Bronze,76,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_82.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_82.png,1
83,Katarina Kuzmova,Tennis,Slovakia,1.000,Bronze,33,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_83.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_83.png,1
84,Karolina Vlčková,Tennis,Czech Republic,1.000,Bronze,49,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_84.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_84.png,1
85,Victoria Chramcova,Tennis,Slovakia,1.000,Bronze,81,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_85.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_85.png,1
86,Matias Perich,Tennis,Argentina,1.000,Bronze,82,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_86.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_86.png,1
87,Nicolas Kicker,Tennis,Argentina,1.000,Bronze,32,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_87.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_87.png,1
88,Lorenzo Bocchi,Tennis,Italy,1.000,Bronze,57,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_88.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_88.png,1
89,Leonardo Aboian,Tennis,Argentina,1.000,Bronze,43,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_89.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_89.png,1
90,Renzo Olivo,Tennis,Argentina,1.000,Silver,19,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_90.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_90.png,1
91,Jesus Montenegro,Golf,Argentina,1.000,Silver,14,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_91.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_91.png,1
92,Alex Barrena,Tennis,Argentina,1.000,Bronze,30,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_92.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_92.png,1
93,Maria Fernanda Morales,Tennis,Sweden,1.000,Bronze,62,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_93.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_93.png,1
94,Adriana Reami,Tennis,USA,1.000,Bronze,55,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_94.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_94.png,1
95,Aiken Tejada,Tennis,Argentina,1.000,Bronze,79,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_95.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_95.png,1
96,Maximo Zeitune,Tennis,Argentina,1.000,Silver,21,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_96.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_96.png,1
97,Ezequiel Monferrer,Tennis,Argentina,1.000,Bronze,50,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_97.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_97.png,1
98,Marcos Chan,Tennis,Ecuador,1.000,Bronze,77,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_98.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_98.png,1
99,Enola Chiesa,Tennis,Italy,1.000,Bronze,80,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_99.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_99.png,1
100,Garrett Johns,Tennis,USA,1.000,Bronze,54,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_100.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_100.png,1
101,Balthazar Huss,Tennis,Italy,1.000,Bronze,78,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_101.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_101.png,1
102,Juan Cruz Martin Manzano,Tennis,Italy,1.000,Bronze,56,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_102.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_102.png,1
103,Ema Burgic,Tennis,Bosnia,1.000,Bronze,51,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_103.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_103.png,1
104,Stefan Kozlov,Tennis,USA,1.000,Silver,20,https://ipfs.io/ipfs/bafybeidvaufwhaqmrjpcq6l477ibacqo2iisva2tnvyck4yxiroqd7hsgu/Card_token_id_104.png,https://ipfs.io/ipfs/bafybeid5gfzyr2cw3yp6op4wip5jdrj25clqojgbn24ml3uxoekklvohoi/portada_token_id_104.png,1